"skills","avg_salary_yearly"
"pyspark","208172.25"
"bitbucket","189154.50"
"couchbase","160515.00"
"watson","160515.00"
"datarobot","155485.50"
"gitlab","154500.00"
"swift","153750.00"
"jupyter","152776.50"
"pandas","151821.33"
"elasticsearch","145000.00"
"golang","145000.00"
"numpy","143512.50"
"databricks","141906.60"
"linux","136507.50"
"kubernetes","132500.00"
"atlassian","131161.80"
"twilio","127000.00"
"airflow","126103.00"
"scikit-learn","125781.25"
"jenkins","125436.33"
"notion","125000.00"
"scala","124903.00"
"postgresql","123878.75"
"gcp","122500.00"
"microstrategy","121619.25"
